aCode	aName	aMarket	bCode	bName	bMarket	market	currency	firstSeen	lastSeen	updatedAt	source
000011	深物业A	sz	200011		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000012	南  玻Ａ	sz	200012		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000016	深康佳Ａ	sz	200016		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000017	深中华A	sz	200017		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000019	深粮控股	sz	200019		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000020	深华发Ａ	sz	200020		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000025	特  力Ａ	sz	200025		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000026	飞亚达	sz	200026		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000028	国药一致	sz	200028		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000029	深深房Ａ	sz	200029		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000030	富奥股份	sz	200030		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000037	深南电A	sz	200037		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000045	深纺织Ａ	sz	200045		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000055	方大集团	sz	200055		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000056	皇庭国际	sz	200056		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000058	深 赛 格	sz	200058		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
000429	粤高速Ａ	sz	200429		sz	SZ-B	HKD	2026-03-18T05:46:17.190728	2026-03-18	2026-03-18T11:42:20.824715	akshare+sina+smartbox
