aCode	aName	aMarket	hCode	hName	hMarket	currency	firstSeen	lastSeen	updatedAt	source
000002	万科A	sz	02202	万科企业	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000063	中兴通讯	sz	00763	中兴通讯	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000157	中联重科	sz	01157	中联重科	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000166	申万宏源	sz	06806	申万宏源	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000333	美的集团	sz	00300	美的集团	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000338	潍柴动力	sz	02338	潍柴动力	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000488	ST晨鸣	sz	01812	晨鸣纸业	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000513	丽珠集团	sz	01513	丽珠医药	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000756	新华制药	sz	00719	山东新华制药股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000776	广发证券	sz	01776	广发证券	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000898	鞍钢股份	sz	00347	鞍钢股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
000921	海信家电	sz	00921	海信家电	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
001236	弘业期货	sz	03678	弘业期货	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
001289	龙源电力	sz	00916	龙源电力	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002050	三花智控	sz	02050	三花智控	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002130	沃尔核材	sz	09981	沃尔核材	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002202	金风科技	sz	02208	金风科技	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002352	顺丰控股	sz	06936	顺丰控股	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002399	海普瑞	sz	09989	海普瑞	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002460	赣锋锂业	sz	01772	赣锋锂业	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002466	天齐锂业	sz	09696	天齐锂业	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002490	山东墨龙	sz	00568	山东墨龙	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002594	比亚迪	sz	01211	比亚迪股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002672	东江环保	sz	00895	东江环保	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002703	浙江世宝	sz	01057	浙江世宝	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002714	牧原股份	sz	02714	牧原股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002747	埃斯顿	sz	02715	埃斯顿	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002768	国恩股份	sz	02768	国恩科技	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002803	吉宏股份	sz	02603	吉宏股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002821	凯莱英	sz	06821	凯莱英	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002865	钧达股份	sz	02865	钧达股份	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002881	美格智能	sz	03268	美格智能	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002936	郑州银行	sz	06196	郑州银行	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
002948	青岛银行	sz	03866	青岛银行	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
003021	兆威机电	sz	02692	兆威机电	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
003816	中国广核	sz	01816	中广核电力	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300347	泰格医药	sz	03347	泰格医药	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300428	立中集团	sz	02039	中集集团	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300433	蓝思科技	sz	06613	蓝思科技	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300450	先导智能	sz	00470	先导智能	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300638	广和通	sz	00638	广和通	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300748	金力永磁	sz	06680	金力永磁	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300750	宁德时代	sz	03750	宁德时代	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300759	康龙化成	sz	03759	康龙化成	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
300919	中伟新材	sz	02579	中伟新材	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
301200	大族数控	sz	03200	大族数控	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600011	华能国际	sh	00902	华能国际电力股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600012	皖通高速	sh	00995	安徽皖通高速公路	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600016	民生银行	sh	01988	民生银行	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600026	中远海能	sh	01138	中远海能	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600027	华电国际	sh	01071	华电国际电力股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600028	中国石化	sh	00386	中国石油化工股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600029	南方航空	sh	01055	中国南方航空股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600030	中信证券	sh	06030	中信证券	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600031	三一重工	sh	06031	三一重工	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600036	招商银行	sh	03968	招商银行	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600115	中国东航	sh	00670	中国东方航空股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600188	兖矿能源	sh	01171	兖矿能源	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600196	复星医药	sh	02196	复星医药	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600276	恒瑞医药	sh	01276	恒瑞医药	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600332	白云山	sh	00874	白云山	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600362	江西铜业	sh	00358	江西铜业股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600377	宁沪高速	sh	00177	江苏宁沪高速公路	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600547	山东黄金	sh	01787	山东黄金	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600548	深高速	sh	00548	深圳高速公路股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600585	海螺水泥	sh	00914	海螺水泥	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600600	青岛啤酒	sh	00168	青岛啤酒股份	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600635	大众公用	sh	01635	大众公用	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600660	福耀玻璃	sh	03606	福耀玻璃	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600685	中船防务	sh	00317	中船防务	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600688	上海石化	sh	00338	上海石油化工股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600690	海尔智家	sh	06690	海尔智家	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600699	均胜电子	sh	00699	均胜电子	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600775	南京熊猫	sh	00553	南京熊猫电子股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600801	华新建材	sh	06655	华新建材	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600808	马钢股份	sh	00323	马鞍山钢铁股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600860	京城股份	sh	00187	京城机电股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600871	石化油服	sh	01033	中石化油服	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600874	创业环保	sh	01065	天津创业环保股份	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600875	东方电气	sh	01072	东方电气	hk	HKD	2026-03-18T06:25:03.440849	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600876	凯盛新能	sh	01108	凯盛新能	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600938	中国海油	sh	00883	中国海洋石油	hk	HKD	2026-03-18T07:25:36.895015	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
600941	中国移动	sh	00941	中国移动	hk	HKD	2026-03-18T05:46:17.166839	2026-03-18	2026-03-18T11:42:20.808717	tencent+akshare
